時間戳記,照做，留言,留奇怪的言（比如圓周率、蛋糕作法...）,不留言，直接忽略,隱藏此類貼文或檢舉文章,不留言，把內文複製後用google搜尋答案,其它（簡答）,複選題~,你「去文章底下留言」這件事不會被朋友看見,朋友知道你去文章底下留言，但不會知道是「什麼樣的文章」,你身邊的朋友（3人以上）都在這篇文章底下留言,,每日平均在社群網站上（臉書、IG等...）花費的時間,在任何文章底下留言的頻率（不計入在不公開社團的留言，比如課業版）,承上題，通常你留言的類型是,您的性別,您的血型,您的年紀,您的星座,平日的嗜好/興趣 （複選）
2018/12/16 下午 9:29:22,2,1,4,4,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,3,3,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,巨蟹座,"田徑運動（如慢跑）, 聽音樂, 享受美食, 閱讀小說, 閱讀科學類書刊, 閱讀（任何書籍）, 繪畫, 美工設計, 寫程式"
2018/12/16 下午 9:34:44,1,1,5,4,1,,從不,4,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,少（少於20分鐘）,每月少於一則,從不,女性,B型,15~19,處女座,"游泳, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 繪畫, 創作文章, 美工設計"
2018/12/16 下午 9:39:25,3,1,2,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,5,5,"滿意、不滿意參半, 日後留言意願下降",中等（20分鐘~1小時）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,O型,20~24,射手座,"球類運動, 田徑運動（如慢跑）, 聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 攝影"
2018/12/16 下午 10:47:31,3,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,3,3,"通常滿意, 日後留言意願不變",長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,金牛座,"舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）, 創作文章"
2018/12/16 下午 10:54:44,2,1,4,5,1,,心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）,5,4,3,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,15~19,天蠍座,球類運動
2018/12/16 下午 10:58:30,1,1,5,3,3,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,3,滿意、不滿意參半,中等（20分鐘~1小時）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,O型,15~19,天蠍座,"游泳, 聽音樂, 唱歌"
2018/12/16 下午 11:06:28,1,1,1,1,1,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",5,3,5,通常不滿意,長（2小時以上）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,牡羊座,"舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 享受美食"
2018/12/16 下午 11:36:54,1,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每月少於一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,射手座,"球類運動, 游泳, 聽音樂, 看電視劇、電影, 外出旅遊, 繪畫, 創作文章, 看戲"
2018/12/16 下午 11:37:06,1,1,5,1,1,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每2~3天一則,表達自己的意見/看法,女性,A型,15~19,巨蟹座,"聽音樂, 唱歌"
2018/12/17 上午 12:04:55,2,2,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",2,2,2,"滿意、不滿意參半, 日後留言意願下降",長（2小時以上）,每月少於一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）, 拿模板",女性,O型,15~19,魔羯座,"田徑運動（如慢跑）, 聽音樂, 唱歌, 享受美食, 閱讀（任何書籍）"
2018/12/17 上午 12:18:05,2,2,4,1,4,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",2,2,2,"通常滿意, 滿意、不滿意參半",較長（1小時~2小時）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,15~19,獅子座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 閱讀（任何書籍）, 繪畫, 美工設計"
2018/12/17 上午 12:23:44,3,1,3,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,5,5,5,"通常滿意, 日後留言意願提高",較長（1小時~2小時）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,A型,15~19,金牛座,"舞蹈（民舞、國標舞...etc.）, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）, 創作文章, 看戲"
2018/12/17 上午 12:25:41,2,1,4,4,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,5,5,5,通常不滿意,長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,B型,20~24,獅子座,"球類運動, 看電視劇、電影, 享受美食"
2018/12/17 上午 12:58:06,3,1,3,1,2,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",5,3,5,"滿意、不滿意參半, 日後留言意願不變",中等（20分鐘~1小時）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,處女座,"聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）, 攝影, 創作文章, 看戲"
2018/12/17 上午 2:00:54,2,1,4,1,1,,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",3,3,5,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,射手座,"球類運動, 聽音樂, 閱讀（任何書籍）, 繪畫, 美工設計, 玩小遊戲"
2018/12/17 上午 3:30:11,2,1,4,2,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,4,4,"滿意、不滿意參半, 日後留言意願不變",長（2小時以上）,每月一則以上，少於每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,AB型,15~19,射手座,"聽音樂, 唱歌, 看電視劇、電影, 享受美食"
2018/12/17 上午 6:42:26,1,1,3,1,1,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,4,"通常滿意, 日後留言意願提高",中等（20分鐘~1小時）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,15~19,水瓶座,"球類運動, 田徑運動（如慢跑）, 聽音樂, 看電視劇、電影, 外出旅遊, 閱讀（任何書籍）, 繪畫, 美工設計"
2018/12/17 上午 10:17:17,3,1,2,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,4,3,"通常滿意, 日後留言意願提高",長（2小時以上）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,15~19,雙魚座,"田徑運動（如慢跑）, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 外出旅遊, 享受美食"
2018/12/17 上午 10:41:56,2,4,3,2,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",4,3,4,"通常不滿意, 日後留言意願下降",長（2小時以上）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,15~19,射手座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 享受美食"
2018/12/17 上午 10:56:34,1,1,5,5,3,,沒有,3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每月一則以上，少於每週一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,20~24,處女座,"游泳, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 享受美食, 閱讀小說, 攝影"
2018/12/17 上午 11:09:11,4,1,2,2,2,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,5,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,約每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,金牛座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊"
2018/12/17 上午 11:38:59,2,1,4,1,1,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,3,2,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,天秤座,"球類運動, 田徑運動（如慢跑）, 聽音樂, 看電視劇、電影, 外出旅遊, 享受美食"
2018/12/17 上午 11:59:19,2,1,4,1,1,,"推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",5,3,1,滿意、不滿意參半,中等（20分鐘~1小時）,每月一則以上，少於每週一則,表達自己的意見/看法,男性,B型,15~19,射手座,"田徑運動（如慢跑）, 聽音樂, 閱讀（任何書籍）, 繪畫, 美工設計"
2018/12/17 下午 12:18:24,1,1,5,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,3,"我從沒在這類文章下留言（選此選項者底下不必勾選）, 通常不滿意",長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,處女座,"享受美食, 閱讀（任何書籍）, 看戲"
2018/12/17 下午 12:50:42,1,1,5,5,3,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,通常不滿意,中等（20分鐘~1小時）,每2~3天一則,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,水瓶座,"球類運動, 聽音樂, 看電視劇、電影, 外出旅遊, 享受美食, 攝影"
2018/12/17 下午 9:35:53,2,1,1,1,2,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,4,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,每月少於一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,20~24,金牛座,"球類運動, 游泳, 聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀（任何書籍）, 攝影, 看戲"
