時間戳記,照做，留言,留奇怪的言（比如圓周率、蛋糕作法...）,不留言，直接忽略,隱藏此類貼文或檢舉文章,不留言，把內文複製後用google搜尋答案,其它（簡答）,複選題~,你「去文章底下留言」這件事不會被朋友看見,朋友知道你去文章底下留言，但不會知道是「什麼樣的文章」,你身邊的朋友（3人以上）都在這篇文章底下留言,,每日平均在社群網站上（臉書、IG等...）花費的時間,在任何文章底下留言的頻率（不計入在不公開社團的留言，比如課業版）,承上題，通常你留言的類型是,您的性別,您的血型,您的年紀,您的星座,平日的嗜好/興趣 （複選）
2018/12/16 上午 11:33:22,2,1,5,1,3,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,4,4,4,"通常不滿意, 日後留言意願下降",中等（20分鐘~1小時）,每月一則以上，少於每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,牡羊座,"球類運動, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 享受美食"
2018/12/16 上午 11:36:34,1,1,5,4,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,約每週一則,表達自己的意見/看法,男性,B型,20~24,金牛座,"田徑運動（如慢跑）, 看電視劇、電影, 閱讀（任何書籍）"
2018/12/16 上午 11:38:25,2,1,4,1,1,,"美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,2,日後留言意願下降,較長（1小時~2小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,B型,15~19,射手座,"球類運動, 唱歌, 演奏樂器（鋼琴、小提琴等）"
2018/12/16 上午 11:44:17,2,1,4,1,1,在留言區看有沒有人講答案或貼出小編私訊內容,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",4,5,4,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,20~24,處女座,"聽音樂, 看電視劇、電影, 享受美食, 閱讀小說, 閱讀（任何書籍）"
2018/12/16 上午 11:44:52,2,1,4,1,2,,醫學書籍,5,3,4,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,"表達自己的意見/看法, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,20~24,雙子座,"游泳, 看電視劇、電影, 外出旅遊, 攝影"
2018/12/16 上午 11:47:02,1,1,5,1,2,,不會留言,4,1,1,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,每月一則以上，少於每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,A型,15~19,獅子座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 攝影"
2018/12/16 上午 11:48:09,2,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",4,3,1,"通常不滿意, 日後留言意願下降",長（2小時以上）,約每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,A型,15~19,水瓶座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 看電視劇、電影, 享受美食, 閱讀（任何書籍）, 美工設計"
2018/12/16 上午 11:48:55,2,2,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,3,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,每2~3天一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,天蠍座,"球類運動, 聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說, 攝影, 繪畫, 看戲, 美工設計"
2018/12/16 上午 11:50:18,2,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",2,3,4,"通常不滿意, 日後留言意願下降",較長（1小時~2小時）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,O型,15~19,射手座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀（任何書籍）, 創作文章, 美工設計"
2018/12/16 上午 11:51:17,3,2,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",5,5,2,滿意、不滿意參半,長（2小時以上）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,牡羊座,"聽音樂, 看電視劇、電影, 外出旅遊, 享受美食, 閱讀小說"
